,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Total
7,0,0,0,0,0,1,1
6,0,0,0,0,10,1,11
3,2,5,2,2,2,1,14
0,4,5,1,4,2,1,17
2,6,1,3,6,1,1,18
8,0,0,0,0,0,18,18
5,9,0,10,0,2,1,22
1,2,5,6,4,4,1,22
4,3,10,4,10,5,1,33
